feature_id,area,feature,user_story,expected_behavior,entry_points,source_evidence,test_strategy,feature_status,test_status,last_tested,test_result,defects,fix_status,notes
US-011,Startup,Startup image attachments,"As a user, I can attach images to the startup prompt.","Repeated --image values are preserved through routing and normalized into prompt content parts.","agenc --image <file|url|data-url> <prompt>","runtime/src/bin/route.ts;runtime/src/bin/agenc.ts;runtime/src/prompts/attachments/user-image-input.ts","runtime/tests/prompts/attachments/integration.test.ts;targeted CLI image smoke",Implemented,Passed,2026-06-22,"PASS: agenc.cli-branch verified repeated --image values are forwarded to bootTUI/oneShotCLI; agenc.test verified startup prompt and images stream as one daemon message; attachment integration tests passed.",None known,Not needed,
US-012,Startup,Help and version,"As a new user, I can discover commands and the installed version.","--help renders top-level help, help <topic> renders command-specific help, and --version prints VERSION.","agenc --help;agenc help <topic>;agenc --version","runtime/src/bin/agenc.ts;runtime/src/index.ts","check:tui-e2e scenario 38-cli-version;scenario 39-cli-help;runtime/tests/commands/help.test.ts",Implemented,Passed,2026-06-22,"PASS: node runtime/bin/agenc --version printed agenc 0.2.0; --help printed top-level usage; help config and help permissions printed command-specific help.",None known,Not needed,
US-013,Trust and onboarding,Workspace trust prompt,"As a user opening an untrusted project, I am asked to trust it before a session can run.","Startup checks project trust roots, displays sources, and records accepted trust for the session/project.","agenc;TUI trust prompt","runtime/src/bin/agenc.ts;runtime/src/permissions/trust/project-trust.ts;runtime/src/permissions/trust/TrustDialog.tsx","check:tui-e2e scenario 53-trust-prompt-bypass;runtime/tests/permissions/trust/project-trust.test.ts",Implemented,Passed,2026-06-22,"PASS: project-trust-preflight tests verified trust preflight blocks untrusted one-shot/direct/piped startup before tool bootstrap; startup PTY smoke covered interactive launch path without fatal trust UI errors.",None known,Not needed,
US-014,Trust and onboarding,API key onboarding,"As a first-time user, I can enter and verify an API key in the TUI.","Onboarding components collect/paste API keys, verify via provider logic, and store state for the project.","TUI onboarding","runtime/src/onboarding/Onboarding.tsx;runtime/src/onboarding/ApproveApiKey.tsx;runtime/src/onboarding/useApiKeyVerification.ts","runtime/tests/tui/components/App.render.test.tsx;targeted onboarding smoke",Implemented,Passed,2026-06-22,"PASS: onboarding and App.render coverage passed in the 37-file CLI batch with 581 tests, verifying API-key onboarding render/state paths and first-run startup surface.",None known,Not needed,
US-015,CLI init,Project initialization,"As a project owner, I can create AgenC project files.","agenc init writes .agenc/config.json and AGENC.md; --force overwrites existing AgenC project files; errors are printed with help.","agenc init;agenc init --force","runtime/src/bin/init-cli.ts;runtime/src/config/project-init.ts","check:tui-e2e scenario 18-slash-init;runtime/tests/commands/commands.upstream.test.ts",Implemented,Passed,2026-06-22,"PASS: node runtime/bin/agenc init in a temp project created AGENC.md and .agenc/config.json with default grok-4.3/project config.",None known,Not needed,
US-016,CLI auth,Login,"As a user, I can sign in through the configured auth backend.","login invokes the auth backend, surfaces device-code instructions when needed, and prints the resolved identity.","agenc login","runtime/src/bin/auth-cli.ts;runtime/src/auth/selection.ts","runtime/tests/bin/auth-cli.contract.test.ts;runtime/tests/auth/*.test.ts",Implemented,Passed,2026-06-22,"PASS: auth-cli contract tests covered local login persistence, remote login persistence, and remote device-code instructions; targeted auth/state run passed 15 tests.",None known,Not needed,
US-017,CLI auth,Logout,"As a signed-in user, I can clear the auth session.","logout calls backend.logout for session cli and prints Logged out.","agenc logout","runtime/src/bin/auth-cli.ts","runtime/tests/bin/auth-cli.contract.test.ts",Implemented,Passed,2026-06-22,"PASS: temp AGENC_HOME node runtime/bin/agenc logout printed Logged out and exited 0; auth-cli contract tests verify logout clears local login state.",None known,Not needed,
US-018,CLI auth,Whoami,"As a user, I can inspect current auth identity.","whoami prints the formatted identity when authenticated; when unauthenticated it prints Not logged in and exits 1.","agenc whoami","runtime/src/bin/auth-cli.ts","runtime/tests/bin/auth-cli.contract.test.ts",Implemented,Passed,2026-06-22,"PASS: temp AGENC_HOME node runtime/bin/agenc whoami printed Not logged in and exited 1; auth-cli contract tests verify authenticated local and remote identity output.",None known,Not needed,
US-019,CLI providers,Provider readiness report,"As a user, I can see which model providers are ready.","providers reports BYOK key status, local server health unless skipped, and subscription tier; --json emits machine-readable JSON.","agenc providers;agenc providers --json;agenc providers --no-local-check","runtime/src/bin/providers-cli.ts;runtime/src/llm/discovery/provider-discovery.ts","runtime/tests/utils/providerDiscovery.test.ts;runtime/tests/commands/provider.test.ts",Implemented,Passed,2026-06-22,"PASS: temp AGENC_HOME node runtime/bin/agenc providers --json --no-local-check returned JSON entries with authBackendKind, subscriptionTier, provider statuses, skipped local checks.",None known,Not needed,
US-020,CLI config,Show effective config,"As a user, I can inspect the effective runtime configuration.","config show migrates readable config, applies environment overrides, validates, and prints a formatted snapshot or a non-zero invalid-config error.","agenc config show","runtime/src/bin/config-cli.ts;runtime/src/commands/config.ts;runtime/src/config/loader.ts","runtime/tests/commands/config.test.ts;runtime/tests/gaphunt3/commands-config.test.ts",Implemented,Passed,2026-06-22,"PASS: temp AGENC_HOME node runtime/bin/agenc config show exited 0 and printed JSON effective config including model, provider, permissions, daemon, and agenc_home.",None known,Not needed,"Also covered by targeted vitest run: commands/config, help, provider, providerDiscovery, commands.upstream; 93 tests passed."
US-021,CLI config,Get config value,"As a user, I can read one config value by dot path.","config get validates path segments, loads effective config, and prints the selected value.","agenc config get <dot.path>","runtime/src/bin/config-cli.ts;runtime/src/commands/config.ts","runtime/tests/commands/config.test.ts",Implemented,Passed,2026-06-22,"PASS: temp AGENC_HOME config get model returned grok-4.3 after set and default grok-4.3 after unset.",None known,Not needed,
US-022,CLI config,Set config value,"As a user, I can persist one config value from the CLI.","config set parses the value as TOML when possible, rejects unsafe dot-path segments, writes config.toml atomically with mode 0600, and preserves parseable structure.","agenc config set <dot.path> <value>","runtime/src/bin/config-cli.ts;runtime/src/config/migrate.ts","runtime/tests/commands/config.test.ts;manual temp AGENC_HOME smoke",Implemented,Passed,2026-06-22,"PASS: temp AGENC_HOME config set model grok-4.3 wrote config.toml and reported Set model.",None known,Not needed,
US-023,CLI config,Unset config value,"As a user, I can remove one config value from the CLI.","config unset removes the selected dot path from config.toml and reports errors for invalid/missing target shapes.","agenc config unset <dot.path>","runtime/src/bin/config-cli.ts","runtime/tests/commands/config.test.ts;manual temp AGENC_HOME smoke",Implemented,Passed,2026-06-22,"PASS: temp AGENC_HOME config unset model reported Unset model and subsequent get model resolved the default.",None known,Not needed,
US-024,CLI config,Validate config,"As a user, I can gate scripts on config validity.","config validate fails on parse errors, schema validation errors, or warnings; success prints Config valid with the loaded path.","agenc config validate","runtime/src/bin/config-cli.ts;runtime/src/config/schema.ts","runtime/tests/commands/config.test.ts",Implemented,Passed,2026-06-22,"PASS: temp AGENC_HOME config validate printed Config valid with the temp config.toml path and exited 0.",None known,Not needed,
US-025,CLI config,Edit config,"As a user, I can open config.toml in my editor.","config edit resolves VISUAL/EDITOR, creates a writable config target when needed, runs the editor, and propagates editor failures.","agenc config edit","runtime/src/bin/config-cli.ts;runtime/src/commands/config.ts","targeted config-cli unit with fake spawner",Implemented,Passed,2026-06-22,"PASS: commands/config and gaphunt commands-config coverage passed in the 37-file CLI batch with 581 tests, including editor command handling for config edit.",None known,Not needed,
US-026,CLI config,Print config path,"As a user, I can locate the active config file.","config path prints the config.toml path under AGENC_HOME.","agenc config path","runtime/src/bin/config-cli.ts;runtime/src/config/env.ts","runtime/tests/commands/config.test.ts",Implemented,Passed,2026-06-22,"PASS: temp AGENC_HOME config path printed <temp>/home/config.toml.",None known,Not needed,
US-027,CLI doctor,Installation diagnostics,"As a user, I can diagnose install and environment problems.","doctor prints version, install type/path, package manager, update permissions, ripgrep status, warnings, and returns 1 when warnings exist; --json emits raw diagnostic.","agenc doctor;agenc doctor --json","runtime/src/bin/doctor-cli.ts;runtime/src/utils/doctorDiagnostic.ts","check:tui-e2e scenario 16-slash-doctor;targeted doctor-cli smoke",Implemented,Passed,2026-06-22,"PASS: node runtime/bin/agenc doctor --json exited 0 with JSON diagnostic, warnings empty, ripgrep working true.",None known,Not needed,
US-028,CLI daemon,Daemon start foreground,"As an operator, I can run the daemon in the foreground for services and debugging.","daemon start --foreground starts the local JSON-RPC daemon, writes runtime info, opens transports, installs shutdown handlers, and stays attached.","agenc daemon start --foreground","runtime/src/app-server/daemon-cli.ts;packaging/","check:tui-runtime-startup;runtime/tests/app-server-client/index.test.ts",Implemented,Passed,2026-06-22,"PASS: daemon-cli contract and heap/log coverage passed in the 37-file CLI batch with 581 tests; packaging smoke separately verified service foreground command wiring.",None known,Not needed,
US-029,CLI daemon,Daemon start detached,"As a user, I can start the local daemon in the background.","daemon start spawns a detached node child with bounded old-space args, writes pid/cookie/socket files, and waits for readiness.","agenc daemon start","runtime/src/app-server/daemon-cli.ts;runtime/src/app-server/daemon-autostart.ts","check:tui-e2e scenario 40-daemon-status;manual temp AGENC_HOME smoke",Implemented,Passed,2026-06-22,"PASS: daemon-cli contract and daemon heap/log coverage passed in the 37-file CLI batch with 581 tests, covering detached start readiness and bounded runtime options.",None known,Not needed,
US-030,CLI daemon,Daemon status,"As an operator, I can see whether the daemon is running and healthy.","daemon status reads pid state and enriches running output with health.stats when reachable.","agenc daemon status","runtime/src/app-server/daemon-cli.ts;runtime/src/app-server/health.ts","check:tui-e2e scenario 40-daemon-status;runtime/tests/gaphunt3/app-server-transport-websocket.test.ts",Implemented,Passed,2026-06-22,"PASS: temp AGENC_HOME node runtime/bin/agenc daemon status printed AgenC daemon stopped and exited 1, matching stopped-state status semantics.",None known,Not needed,
US-031,CLI daemon,Daemon stop,"As an operator, I can stop the local daemon cleanly.","daemon stop signals the pid, waits up to the stop timeout, removes runtime info, and reports errors when not running or unkillable.","agenc daemon stop","runtime/src/app-server/daemon-cli.ts","check:tui-e2e scenario 59-daemon-stop-clean;manual temp AGENC_HOME smoke",Implemented,Passed,2026-06-22,"PASS: daemon-cli contract coverage passed in the 37-file CLI batch with 581 tests, covering stop command behavior and stopped-state reporting.",None known,Not needed,
US-032,CLI daemon,Daemon reload and restart,"As an operator, I can reload config or restart the daemon.","daemon reload sends daemon.reload to a running daemon; restart stops then starts and reports failures clearly.","agenc daemon reload;agenc daemon restart","runtime/src/app-server/daemon-cli.ts;runtime/src/app-server/daemon-dispatcher.ts","check:tui-e2e scenario 87-daemon-restart-during-session;manual reload smoke",Implemented,Passed,2026-06-22,"PASS: daemon-cli contract coverage passed in the 37-file CLI batch with 581 tests, and prior daemon protocol coverage passed daemon dispatcher reload/restart paths.",None known,Not needed,
US-033,CLI agent,Start background agent,"As a user, I can start a long-lived background agent from the CLI.","agent start autostarts the daemon when enabled, sends agent.create with objective and unattended allow/deny lists, and prints only the agent id on success.","agenc agent start <objective>","runtime/src/app-server/agent-cli.ts;runtime/src/app-server/background-agent-runner.ts","runtime/tests/gaphunt3/app-server-agent-cli.test.ts;manual fake-provider smoke",Implemented,Passed,2026-06-22,"PASS: agent-cli, background-agent-runner, and gaphunt app-server-agent-cli coverage passed in the 37-file CLI batch with 581 tests.",None known,Not needed,
US-034,CLI agent,List background agents,"As a user, I can inspect active background agents.","agent list asks the daemon for agent.list and prints a tabular summary or empty-state output.","agenc agent list","runtime/src/app-server/agent-cli.ts;runtime/src/agents/status.ts","runtime/tests/gaphunt3/app-server-agent-cli.test.ts",Implemented,Passed,2026-06-22,"PASS: agent-cli and gaphunt app-server-agent-cli coverage passed in the 37-file CLI batch with 581 tests, covering list output and daemon request handling.",None known,Not needed,
US-035,CLI agent,Attach background agent,"As a user, I can attach a TUI to a running background agent.","agent attach validates exactly one id, calls agent.attach, resolves attach cwd, and opens the TUI client for the daemon session.","agenc agent attach <id>","runtime/src/app-server/agent-cli.ts;runtime/src/tui/daemon-session.ts","runtime/tests/gaphunt3/app-server-agent-cli.test.ts;manual attach smoke",Implemented,Passed,2026-06-22,"PASS: agent-cli and gaphunt app-server-agent-cli coverage passed in the 37-file CLI batch with 581 tests, covering attach argument validation and TUI attach dispatch.",None known,Not needed,
US-036,CLI agent,Stop background agent,"As a user, I can stop a running background agent.","agent stop validates exactly one id, calls agent.stop, and prints daemon result/errors.","agenc agent stop <id>","runtime/src/app-server/agent-cli.ts;runtime/src/app-server/agent-lifecycle.ts","runtime/tests/gaphunt3/app-server-agent-cli.test.ts",Implemented,Passed,2026-06-22,"PASS: agent-cli and gaphunt app-server-agent-cli coverage passed in the 37-file CLI batch with 581 tests, covering stop command validation and daemon result handling.",None known,Not needed,
US-037,CLI agent,Read background agent logs,"As a user, I can inspect an agent's persisted transcript without attaching.","agent logs calls agent.logs and prints local log/transcript content for the requested id.","agenc agent logs <id>","runtime/src/app-server/agent-cli.ts;runtime/src/app-server/agent-lifecycle.ts","runtime/tests/gaphunt3/app-server-agent-cli.test.ts;manual log smoke",Implemented,Passed,2026-06-22,"PASS: agent-cli and gaphunt app-server-agent-cli coverage passed in the 37-file CLI batch with 581 tests, covering log command validation and output handling.",None known,Not needed,
US-038,CLI MCP,Serve AgenC tools over MCP,"As an integrator, I can expose AgenC tools as an MCP server.","mcp serve starts stdio or SSE transport using config defaults; --host/--port are rejected at CLI level for serve.","agenc mcp serve --transport stdio;agenc mcp serve --transport sse","runtime/src/bin/mcp-cli.ts;runtime/src/mcp/server/start.ts;runtime/src/mcp-server/","check:tui-e2e scenario 41-mcp-serve-noop;runtime/tests/mcp-server/tools.test.ts",Implemented,Passed,2026-06-22,"PASS: mcp-server and gaphunt HTTP/SSE MCP coverage passed in the 37-file CLI batch with 581 tests, covering server startup surfaces and transport behavior.",None known,Not needed,
US-039,CLI MCP,Add MCP server,"As a user, I can add a local or remote MCP server to config.","mcp add parses transport, scope, env and header options, then persists server config via the MCP handler.","agenc mcp add <name> <command-or-url> [args...]","runtime/src/bin/mcp-cli.ts;runtime/src/cli/handlers/mcp.tsx","runtime/tests/commands/mcp.test.ts;runtime/tests/services/mcp/config.test.ts",Implemented,Passed,2026-06-22,"PASS: commands/mcp and services/mcp config coverage passed in the 37-file CLI batch with 581 tests, covering add parsing and persisted server config.",None known,Not needed,
US-040,CLI MCP,List and get MCP servers,"As a user, I can see configured MCP servers and inspect one by name.","mcp list prints configured servers; mcp get requires one name and prints server details.","agenc mcp list;agenc mcp get <name>","runtime/src/bin/mcp-cli.ts;runtime/src/cli/handlers/mcp.tsx","runtime/tests/commands/mcp.test.ts",Implemented,Passed,2026-06-22,"PASS: temp AGENC_HOME node runtime/bin/agenc mcp list exited 0 and printed the empty-config guidance. Automated: commands/mcp test file passed in targeted 58-test batch.",None known,Not needed,
US-041,CLI MCP,Remove MCP server,"As a user, I can remove an MCP server from a chosen config scope.","mcp remove parses optional scope, requires one name, and delegates removal to MCP handler.","agenc mcp remove <name> --scope <scope>","runtime/src/bin/mcp-cli.ts;runtime/src/cli/handlers/mcp.tsx","runtime/tests/commands/mcp.test.ts",Implemented,Passed,2026-06-22,"PASS: commands/mcp coverage passed in the 37-file CLI batch with 581 tests, covering remove command parsing and handler delegation.",None known,Not needed,
US-042,CLI MCP,Add MCP server from JSON,"As a user, I can import an MCP server definition from JSON.","mcp add-json requires name and JSON, accepts scope and client-secret flag, and persists via handler.","agenc mcp add-json <name> <json>","runtime/src/bin/mcp-cli.ts;runtime/src/cli/handlers/mcp.tsx","runtime/tests/commands/mcp.test.ts",Implemented,Passed,2026-06-22,"PASS: commands/mcp coverage passed in the 37-file CLI batch with 581 tests, covering add-json validation and persistence delegation.",None known,Not needed,
US-043,CLI MCP,Import desktop MCP config,"As a user migrating config, I can import servers from AgenC Desktop config.","mcp add-from-agenc-desktop accepts only optional scope and delegates desktop import.","agenc mcp add-from-agenc-desktop","runtime/src/bin/mcp-cli.ts;runtime/src/cli/handlers/mcp.tsx","runtime/tests/commands/mcp.test.ts",Implemented,Passed,2026-06-22,"PASS: commands/mcp coverage passed in the 37-file CLI batch with 581 tests, covering desktop-import command validation and handler delegation.",None known,Not needed,
US-044,CLI MCP,Reset project MCP choices,"As a user, I can clear remembered project MCP approval choices.","mcp reset-project-choices accepts no positionals and resets project choice state via handler.","agenc mcp reset-project-choices","runtime/src/bin/mcp-cli.ts;runtime/src/cli/handlers/mcp.tsx","runtime/tests/commands/mcp.test.ts",Implemented,Passed,2026-06-22,"PASS: commands/mcp coverage passed in the 37-file CLI batch with 581 tests, covering reset-project-choices argument validation and handler delegation.",None known,Not needed,
US-045,CLI MCP,MCP doctor,"As a user, I can diagnose MCP config and server health.","mcp doctor optionally targets one server, supports scope, config-only, and json output, and delegates diagnostics to handler.","agenc mcp doctor [name] [--json] [--config-only]","runtime/src/bin/mcp-cli.ts;runtime/src/cli/handlers/mcp.tsx","runtime/tests/services/mcp/doctor.test.ts;runtime/tests/commands/mcp.test.ts",Implemented,Passed,2026-06-22,"PASS: temp AGENC_HOME node runtime/bin/agenc mcp doctor --json exited 0 with summary totals 0 and empty findings/servers. Automated: services/mcp/doctor and commands/mcp passed.",None known,Not needed,
US-046,CLI MCP,XAA auth management,"As an enterprise user, I can manage XAA IdP auth for MCP servers.","mcp xaa delegates setup/login/show/clear flows to the XAA handler and uses provided CLI IO/env.","agenc mcp xaa <setup|login|show|clear>","runtime/src/bin/mcp-cli.ts;runtime/src/cli/handlers/mcp-xaa.ts;runtime/src/services/mcp/xaa.ts","runtime/tests/services/mcp/auth-xaa-lock.test.ts;targeted xaa CLI smoke",Implemented,Passed,2026-06-22,"PASS: services/mcp XAA auth coverage passed in the 37-file CLI batch with 581 tests, including auth-xaa-lock behavior and MCP auth handling.",None known,Not needed,
US-047,CLI permissions,List permission rules and grants,"As an operator, I can inspect persisted permissions or live session/agent permissions.","permissions list prints current workspace grants or daemon live permissions; --json emits structured data; --agent and --session are mutually exclusive.","agenc permissions list [--json] [--agent <id>|--session <id>]","runtime/src/permissions/permission-cli.ts;runtime/src/permissions/permission-grants.ts","runtime/tests/permissions/permission-cli.test.ts;runtime/tests/permissions/permission-cli.dispatch.test.ts",Implemented,Passed,2026-06-22,"PASS: temp HOME/AGENC_HOME node runtime/bin/agenc permissions list exited 0 and printed tabular default permission mode. Automated: permissions/permission-cli passed.",None known,Not needed,
US-048,CLI permissions,Approve persisted rule,"As a user, I can persistently allow a tool rule.","permissions approve without --session parses a rule and writes it to user/project/local settings, recording an audit event.","agenc permissions approve --persist <user|project|local> <rule>","runtime/src/permissions/permission-cli.ts;runtime/src/permissions/settings.ts;runtime/src/permissions/rules.ts","runtime/tests/permissions/permission-cli.test.ts;runtime/tests/permissions/rules.test.ts",Implemented,Passed,2026-06-22,"PASS: permission-cli, rules, and tool-approval coverage passed in the 37-file CLI batch with 581 tests, covering persisted approve parsing and storage behavior.",None known,Not needed,
US-049,CLI permissions,Revoke persisted rule,"As a user, I can remove a persisted permission rule.","permissions revoke without --session parses the rule and removes it from the selected persisted settings scope with audit logging.","agenc permissions revoke --persist <user|project|local> <rule>","runtime/src/permissions/permission-cli.ts;runtime/src/permissions/settings.ts","runtime/tests/permissions/permission-cli.test.ts",Implemented,Passed,2026-06-22,"PASS: permission-cli and rules coverage passed in the 37-file CLI batch with 581 tests, covering persisted revoke parsing and storage behavior.",None known,Not needed,
US-050,CLI permissions,Resolve live permission request,"As an operator, I can approve or deny a pending request without opening the TUI.","permissions approve/revoke --session sends tool.approve/tool.deny to the daemon, with approve scope once/session/agent and optional deny reason.","agenc permissions approve --session <id> [--scope <scope>] <request-id>;agenc permissions revoke --session <id> [--reason <text>] <request-id>","runtime/src/permissions/permission-cli.ts;runtime/src/app-server/daemon-dispatcher.ts","runtime/tests/permissions/permission-cli.dispatch.test.ts;runtime/tests/permissions/tool-approval.test.ts",Implemented,Passed,2026-06-22,"PASS: permission-cli.dispatch and tool-approval coverage passed in the 37-file CLI batch with 581 tests, covering daemon-backed approval and denial dispatch.",None known,Not needed,
US-051,CLI plugin,List plugins,"As a user, I can see installed plugins.","plugin list prints installed plugin data; --json returns the raw result.","agenc plugin list [--json]","runtime/src/plugins/cli/pluginCliCommands.ts;runtime/src/plugins/cli/pluginOperations.ts","runtime/tests/plugins/cli/pluginCliCommands.test.ts;runtime/tests/plugins/loader.test.ts",Implemented,Passed,2026-06-22,"PASS: temp AGENC_HOME node runtime/bin/agenc plugin list --json exited 0 with plugins [] and errors []. Automated: pluginCliCommands passed.",None known,Not needed,
US-052,CLI plugin,Validate plugin or marketplace,"As a plugin author, I can validate a plugin directory or marketplace manifest.","plugin validate requires one path, supports --marketplace and --json, and exits non-zero on validation failure.","agenc plugin validate <path> [--marketplace] [--json]","runtime/src/plugins/cli/pluginCliCommands.ts;runtime/src/plugins/validation.ts","runtime/tests/plugins/cli/pluginCliCommands.test.ts;runtime/tests/plugins/validateOfficialNameSource.test.ts",Implemented,Passed,2026-06-22,"PASS: pluginCliCommands and validateOfficialNameSource coverage passed in the 37-file CLI batch with 581 tests, covering plugin validation command behavior.",None known,Not needed,
US-053,CLI plugin,Install plugin,"As a user, I can install a local plugin into a chosen scope.","plugin install requires one source, accepts scope/name/force, validates/copies plugin data, and reports destination.","agenc plugin install <path> [--scope <user|project|local>] [--name <name>] [--force]","runtime/src/plugins/cli/pluginCliCommands.ts;runtime/src/plugins/cli/pluginOperations.ts","runtime/tests/plugins/cli/pluginCliCommands.test.ts",Implemented,Passed,2026-06-22,"PASS: pluginCliCommands coverage passed in the 37-file CLI batch with 581 tests, covering install argument handling, scope/name/force options, and reporting.",None known,Not needed,
US-054,CLI plugin,Uninstall or update plugin,"As a user, I can remove or refresh an installed plugin.","plugin uninstall removes one plugin from a scope and optionally keeps data; plugin update refreshes from existing or supplied source.","agenc plugin uninstall <name>;agenc plugin update <name> [--source <path>]","runtime/src/plugins/cli/pluginCliCommands.ts;runtime/src/plugins/cli/pluginOperations.ts","runtime/tests/plugins/cli/pluginCliCommands.test.ts",Implemented,Passed,2026-06-22,"PASS: pluginCliCommands coverage passed in the 37-file CLI batch with 581 tests, covering uninstall/update command handling and option propagation.",None known,Not needed,
US-055,CLI plugin,Enable and disable plugins,"As a user, I can control which plugins load.","plugin enable writes enabled config, optional path; disable marks one plugin disabled; disable-all disables all currently enabled plugins.","agenc plugin enable <name>;agenc plugin disable <name>;agenc plugin disable-all","runtime/src/plugins/cli/pluginCliCommands.ts;runtime/src/plugins/registration/manager.ts","runtime/tests/plugins/pluginLoader-core.test.ts;runtime/tests/plugins/cli/pluginCliCommands.test.ts",Implemented,Passed,2026-06-22,"PASS: pluginCliCommands and pluginLoader-core coverage passed in the 37-file CLI batch with 581 tests, covering enable, disable, and disable-all behavior.",None known,Not needed,
